fecha,altura_astronomica_m,altura_medida_m
2026-07-02T00:45:00,0.95,2.5
2026-07-02T01:45:00,1.11,2.51
2026-07-02T02:45:00,1.2,2.52
2026-07-02T03:45:00,1.21,2.39
2026-07-02T04:45:00,1.15,2.27
2026-07-02T05:45:00,1.07,2.15
2026-07-02T06:45:00,0.97,1.97
2026-07-02T07:45:00,0.86,1.75
2026-07-02T08:45:00,0.74,1.6
2026-07-02T09:45:00,0.63,1.49
2026-07-02T10:45:00,0.57,1.38
2026-07-02T11:45:00,0.59,1.28
2026-07-02T12:45:00,0.67,1.26
2026-07-02T13:45:00,0.77,1.23
2026-07-02T14:45:00,0.83,1.23
2026-07-02T15:45:00,0.86,1.18
2026-07-02T16:45:00,0.85,1.12
2026-07-02T17:45:00,0.82,1.09
2026-07-02T18:45:00,0.77,1.1
2026-07-02T19:45:00,0.71,1.01
2026-07-02T20:45:00,0.63,0.99
2026-07-02T21:45:00,0.56,0.99
2026-07-02T22:45:00,0.56,1.03
2026-07-02T23:45:00,0.66,1.17
