fecha,altura_astronomica_m,altura_medida_m
2026-07-08T07:45:00,1.24,0.8
2026-07-08T08:45:00,1.19,0.84
2026-07-08T09:45:00,1.1,0.81
2026-07-08T10:45:00,0.97,0.8
2026-07-08T11:45:00,0.82,0.68
2026-07-08T12:45:00,0.68,0.56
2026-07-08T13:45:00,0.59,0.54
2026-07-08T14:45:00,0.56,0.56
2026-07-08T15:45:00,0.62,0.69
2026-07-08T16:45:00,0.75,0.86
2026-07-08T17:45:00,0.9,1.05
2026-07-08T18:45:00,1.0,1.05
2026-07-08T19:45:00,0.99,
2026-07-08T20:45:00,0.93,
2026-07-08T21:45:00,0.84,
2026-07-08T22:45:00,0.73,
2026-07-08T23:45:00,0.59,
