fecha,nivel
2026-08-23T00:00:00,1.629
2026-08-23T00:12:00,1.691
2026-08-23T00:18:00,1.705
2026-08-23T00:24:00,1.72
2026-08-23T00:30:00,1.695
2026-08-23T00:36:00,1.703
2026-08-23T00:42:00,1.742
2026-08-23T00:48:00,1.802
2026-08-23T00:54:00,1.809
2026-08-23T01:00:00,1.79
2026-08-23T01:06:00,1.815
2026-08-23T01:12:00,1.851
2026-08-23T01:18:00,1.842
2026-08-23T01:24:00,1.856
2026-08-23T01:30:00,1.822
2026-08-23T01:36:00,1.855
2026-08-23T01:42:00,1.858
2026-08-23T01:48:00,1.859
2026-08-23T01:54:00,1.908
2026-08-23T02:00:00,1.88
2026-08-23T02:06:00,1.873
2026-08-23T02:12:00,1.859
2026-08-23T02:18:00,1.845
2026-08-23T02:24:00,1.83
2026-08-23T02:30:00,1.841
2026-08-23T02:36:00,1.816
2026-08-23T02:42:00,1.85
2026-08-23T02:48:00,1.816
2026-08-23T02:54:00,1.85
2026-08-23T03:00:00,1.841
2026-08-23T03:06:00,1.797
2026-08-23T03:12:00,1.842
2026-08-23T03:18:00,1.778
2026-08-23T03:24:00,1.772
2026-08-23T03:30:00,1.756
2026-08-23T03:36:00,1.764
2026-08-23T03:42:00,1.751
2026-08-23T03:48:00,1.727
2026-08-23T03:54:00,1.722
2026-08-23T04:00:00,1.724
2026-08-23T04:06:00,1.697
2026-08-23T04:12:00,1.7
2026-08-23T04:18:00,1.688
2026-08-23T04:24:00,1.668
2026-08-23T04:30:00,1.647
2026-08-23T04:36:00,1.615
2026-08-23T04:42:00,1.599
2026-08-23T04:48:00,1.571
2026-08-23T04:54:00,1.629
2026-08-23T05:00:00,1.54
2026-08-23T05:06:00,1.542
2026-08-23T05:12:00,1.509
2026-08-23T05:18:00,1.517
2026-08-23T05:24:00,1.469
2026-08-23T05:30:00,1.506
2026-08-23T05:36:00,1.464
2026-08-23T05:42:00,1.45
2026-08-23T05:48:00,1.456
2026-08-23T05:54:00,1.411
2026-08-23T06:00:00,1.409
2026-08-23T06:06:00,1.394
2026-08-23T06:12:00,1.384
2026-08-23T06:18:00,1.34
2026-08-23T06:24:00,1.34
2026-08-23T06:30:00,1.328
2026-08-23T06:36:00,1.318
2026-08-23T06:42:00,1.243
2026-08-23T06:48:00,1.334
2026-08-23T06:54:00,1.339
2026-08-23T07:00:00,1.284
2026-08-23T07:06:00,1.269
2026-08-23T07:12:00,1.238
2026-08-23T07:18:00,1.204
2026-08-23T07:24:00,1.222
2026-08-23T07:30:00,1.247
2026-08-23T07:36:00,1.205
2026-08-23T07:42:00,1.218
2026-08-23T07:48:00,1.154
2026-08-23T07:54:00,1.184
2026-08-23T08:00:00,1.178
2026-08-23T08:06:00,1.122
2026-08-23T08:12:00,1.175
2026-08-23T08:18:00,1.135
2026-08-23T08:24:00,1.183
2026-08-23T08:30:00,1.14
2026-08-23T08:36:00,1.12
2026-08-23T08:42:00,1.087
2026-08-23T08:48:00,1.11
2026-08-23T08:54:00,1.068
2026-08-23T09:00:00,1.166
2026-08-23T09:06:00,1.152
2026-08-23T09:12:00,1.146
2026-08-23T09:18:00,1.156
2026-08-23T09:24:00,1.127
2026-08-23T09:30:00,1.197
2026-08-23T09:36:00,1.176
2026-08-23T09:42:00,1.198
2026-08-23T09:48:00,1.151
2026-08-23T09:54:00,1.175
2026-08-23T10:06:00,1.209
2026-08-23T10:12:00,1.269
2026-08-23T10:18:00,1.227
2026-08-23T10:24:00,1.221
2026-08-23T10:30:00,1.301
2026-08-23T10:36:00,1.298
2026-08-23T10:42:00,1.264
2026-08-23T10:48:00,1.301
2026-08-23T10:54:00,1.311
2026-08-23T11:00:00,1.315
2026-08-23T11:06:00,1.316
2026-08-23T11:12:00,1.298
2026-08-23T11:18:00,1.407
2026-08-23T11:24:00,1.348
2026-08-23T11:30:00,1.37
2026-08-23T11:36:00,1.404
2026-08-23T11:42:00,1.414
2026-08-23T11:48:00,1.436
2026-08-23T11:54:00,1.487
2026-08-23T12:00:00,1.463
2026-08-23T12:06:00,1.451
2026-08-23T12:12:00,1.549
2026-08-23T12:18:00,1.497
2026-08-23T12:24:00,1.554
2026-08-23T12:30:00,1.53
2026-08-23T12:36:00,1.579
2026-08-23T12:42:00,1.595
2026-08-23T12:48:00,1.595
2026-08-23T12:54:00,1.577
2026-08-23T13:00:00,1.596
2026-08-23T13:06:00,1.646
2026-08-23T13:12:00,1.657
2026-08-23T13:18:00,1.668
2026-08-23T13:24:00,1.662
2026-08-23T13:30:00,1.677
2026-08-23T13:36:00,1.649
2026-08-23T13:42:00,1.709
2026-08-23T13:48:00,1.681
2026-08-23T13:54:00,1.637
2026-08-23T14:00:00,1.681
2026-08-23T14:06:00,1.722
2026-08-23T14:12:00,1.639
2026-08-23T14:18:00,1.744
