fecha,altura_astronomica_m,altura_medida_m
2026-08-30T00:45:00,1.03,1.13
2026-08-30T01:45:00,0.62,0.59
2026-08-30T02:45:00,0.69,0.73
2026-08-30T03:45:00,1.2,1.45
2026-08-30T04:45:00,1.96,2.31
2026-08-30T05:45:00,2.7,3.13
2026-08-30T06:45:00,3.26,3.67
2026-08-30T07:45:00,3.54,3.85
2026-08-30T08:45:00,3.55,3.82
2026-08-30T09:45:00,3.3,3.62
2026-08-30T10:45:00,2.8,3.12
2026-08-30T11:45:00,2.12,2.37
2026-08-30T12:45:00,1.43,1.46
2026-08-30T13:45:00,0.97,0.9
2026-08-30T14:45:00,0.95,0.85
2026-08-30T15:45:00,1.39,1.86
2026-08-30T16:45:00,2.12,2.58
2026-08-30T17:45:00,2.89,3.61
2026-08-30T18:45:00,3.47,3.91
2026-08-30T19:45:00,3.78,4.09
2026-08-30T20:45:00,3.8,4.11
2026-08-30T21:45:00,3.57,3.88
2026-08-30T22:45:00,3.08,3.32
2026-08-30T23:45:00,2.37,2.59
