fecha,altura_astronomica_m,altura_medida_m
2026-07-14T00:45:00,0.61,0.28
2026-07-14T01:45:00,0.34,0.1
2026-07-14T02:45:00,0.19,0.03
2026-07-14T03:45:00,0.18,0.02
2026-07-14T04:45:00,0.33,0.16
2026-07-14T05:45:00,0.55,0.33
2026-07-14T06:45:00,0.78,0.55
2026-07-14T07:45:00,0.96,0.76
2026-07-14T08:45:00,1.05,0.83
2026-07-14T09:45:00,1.06,0.88
2026-07-14T10:45:00,0.99,0.81
2026-07-14T11:45:00,0.85,0.83
2026-07-14T12:45:00,0.68,0.66
2026-07-14T13:45:00,0.51,0.56
2026-07-14T14:45:00,0.42,0.58
2026-07-14T15:45:00,0.46,0.62
2026-07-14T16:45:00,0.65,0.88
2026-07-14T17:45:00,0.94,1.16
2026-07-14T18:45:00,1.24,1.48
2026-07-14T19:45:00,1.48,1.71
2026-07-14T20:45:00,1.6,1.84
2026-07-14T21:45:00,1.61,1.79
2026-07-14T22:45:00,1.5,1.69
2026-07-14T23:45:00,1.29,1.43
