fecha,altura_astronomica_m,altura_medida_m
2026-07-12T06:45:00,0.84,0.69
2026-07-12T07:45:00,0.72,0.56
2026-07-12T08:45:00,0.73,0.6
2026-07-12T09:45:00,0.88,0.76
2026-07-12T10:45:00,1.16,1.0
2026-07-12T11:45:00,1.51,1.33
2026-07-12T12:45:00,1.82,1.63
2026-07-12T13:45:00,2.04,1.86
2026-07-12T14:45:00,2.15,2.01
2026-07-12T15:45:00,2.1,1.99
2026-07-12T16:45:00,1.86,1.71
2026-07-12T17:45:00,1.45,1.23
2026-07-12T18:45:00,0.98,
2026-07-12T19:45:00,0.58,
2026-07-12T20:45:00,0.32,
2026-07-12T21:45:00,0.22,
2026-07-12T22:45:00,0.28,
2026-07-12T23:45:00,0.49,
