fecha,altura_astronomica_m,altura_medida_m
2026-07-09T00:45:00,1.44,1.57
2026-07-09T01:45:00,1.27,1.33
2026-07-09T02:45:00,1.04,1.12
2026-07-09T03:45:00,0.82,0.95
2026-07-09T04:45:00,0.66,0.77
2026-07-09T05:45:00,0.59,0.66
2026-07-09T06:45:00,0.65,0.65
2026-07-09T07:45:00,0.84,0.84
2026-07-09T08:45:00,1.12,1.08
2026-07-09T09:45:00,1.4,1.41
2026-07-09T10:45:00,1.62,1.56
2026-07-09T11:45:00,1.74,1.71
2026-07-09T12:45:00,1.74,1.72
2026-07-09T13:45:00,1.63,1.55
2026-07-09T14:45:00,1.41,1.31
2026-07-09T15:45:00,1.13,1.0
2026-07-09T16:45:00,0.86,0.72
2026-07-09T17:45:00,0.67,0.52
2026-07-09T18:45:00,0.61,0.47
2026-07-09T19:45:00,0.66,0.5
2026-07-09T20:45:00,0.8,0.56
2026-07-09T21:45:00,0.99,0.72
2026-07-09T22:45:00,1.2,0.97
2026-07-09T23:45:00,1.38,1.18
