fecha,altura_astronomica_m,altura_medida_m
2026-07-14T06:45:00,1.04,0.89
2026-07-14T07:45:00,0.97,0.95
2026-07-14T08:45:00,0.89,0.97
2026-07-14T09:45:00,0.79,0.83
2026-07-14T10:45:00,0.7,0.79
2026-07-14T11:45:00,0.66,0.81
2026-07-14T12:45:00,0.68,0.75
2026-07-14T13:45:00,0.74,0.83
2026-07-14T14:45:00,0.86,0.93
2026-07-14T15:45:00,1.11,1.26
2026-07-14T16:45:00,1.45,1.58
2026-07-14T17:45:00,1.73,1.85
2026-07-14T18:45:00,1.79,2.05
2026-07-14T19:45:00,1.66,
2026-07-14T20:45:00,1.42,
2026-07-14T21:45:00,1.16,
2026-07-14T22:45:00,0.87,
2026-07-14T23:45:00,0.61,
