fecha,altura_astronomica_m,altura_medida_m
2026-07-03T07:45:00,0.77,1.51
2026-07-03T08:45:00,0.88,1.7
2026-07-03T09:45:00,1.03,1.75
2026-07-03T10:45:00,1.11,1.71
2026-07-03T11:45:00,1.14,1.66
2026-07-03T12:45:00,1.08,1.59
2026-07-03T13:45:00,1.01,1.47
2026-07-03T14:45:00,0.92,1.38
2026-07-03T15:45:00,0.81,1.28
2026-07-03T16:45:00,0.73,1.21
2026-07-03T17:45:00,0.69,1.15
2026-07-03T18:45:00,0.68,1.1
2026-07-03T19:45:00,0.71,
2026-07-03T20:45:00,0.74,
2026-07-03T21:45:00,0.8,
2026-07-03T22:45:00,0.85,
2026-07-03T23:45:00,0.86,
