fecha,altura,altura_maxima,periodo,direccion
2026-08-14T00:00:00,1.58,2.53,10.92,162
2026-08-14T00:30:00,1.57,2.52,10.24,157
2026-08-14T01:00:00,1.62,2.44,11.7,154
2026-08-14T01:30:00,1.45,2.24,11.7,154
2026-08-14T02:00:00,1.57,2.26,10.92,156
2026-08-14T02:30:00,1.6,2.77,12.6,153
2026-08-14T03:00:00,1.59,2.66,11.7,151
2026-08-14T03:30:00,1.67,2.61,11.7,155
2026-08-14T04:00:00,1.62,2.72,10.92,159
2026-08-14T04:30:00,1.51,2.53,11.7,155
2026-08-14T05:00:00,1.58,2.67,10.24,153
2026-08-14T05:30:00,1.73,2.75,11.7,154
2026-08-14T06:00:00,1.63,2.51,11.7,155
2026-08-14T06:30:00,1.57,2.35,11.7,153
2026-08-14T07:00:00,1.54,2.81,10.92,154
2026-08-14T07:30:00,1.48,2.43,10.92,151
2026-08-14T08:00:00,1.36,2.16,10.24,152
2026-08-14T08:30:00,1.42,2.31,11.7,149
2026-08-14T09:00:00,1.47,2.26,10.24,153
2026-08-14T09:30:00,1.41,2.3,10.92,146
2026-08-14T10:00:00,1.47,2.39,10.24,144
2026-08-14T10:30:00,1.41,2.59,10.24,152
2026-08-14T11:00:00,1.32,2.2,9.64,151
2026-08-14T11:30:00,1.35,2.16,10.24,149
2026-08-14T12:00:00,1.32,2.06,10.92,152
2026-08-14T12:30:00,1.32,2.16,10.92,149
2026-08-14T13:00:00,1.33,2.19,10.24,152
2026-08-14T13:30:00,1.26,1.92,10.92,151
2026-08-14T14:00:00,1.31,1.85,10.92,146
2026-08-14T14:30:00,1.22,1.92,9.1,156
2026-08-14T15:00:00,1.27,1.88,10.24,154
2026-08-14T15:30:00,1.25,1.87,10.92,152
2026-08-14T16:00:00,1.26,2.48,10.24,154
2026-08-14T16:30:00,1.32,1.91,10.24,152
2026-08-14T17:00:00,1.29,1.89,8.62,150
2026-08-14T17:30:00,1.32,2.16,10.24,156
2026-08-14T18:00:00,1.28,2.18,9.64,148
2026-08-14T18:30:00,1.27,2.18,10.92,153
2026-08-14T19:00:00,1.21,1.73,9.64,149
2026-08-14T19:30:00,1.19,1.95,9.64,150
2026-08-14T20:00:00,1.13,1.74,10.24,149
2026-08-14T20:30:00,1.17,1.66,10.24,154
2026-08-14T21:00:00,1.1,1.71,10.24,152
2026-08-14T21:30:00,1.11,1.8,9.1,150
2026-08-14T22:00:00,1.09,1.9,9.1,148
2026-08-14T22:30:00,1.03,1.72,9.1,146
2026-08-14T23:00:00,1.0,1.65,10.24,145
