fecha,velocidad,direccion
2026-08-23T00:00:00,44.1,203
2026-08-23T00:01:00,46.04,204
2026-08-23T00:02:00,47.09,207
2026-08-23T00:03:00,49.05,206
2026-08-23T00:04:00,55.15,204
2026-08-23T00:05:00,51.76,205
2026-08-23T00:06:00,53.53,203
2026-08-23T00:07:00,54.68,206
2026-08-23T00:08:00,55.04,206
2026-08-23T00:09:00,51.96,206
2026-08-23T00:10:00,49.83,205
2026-08-23T00:11:00,52.41,207
2026-08-23T00:12:00,51.11,202
2026-08-23T00:13:00,51.27,204
2026-08-23T00:14:00,50.14,204
2026-08-23T00:15:00,47.62,209
2026-08-23T00:16:00,45.21,203
2026-08-23T00:17:00,43.09,202
2026-08-23T00:18:00,51.67,196
2026-08-23T00:19:00,46.57,198
2026-08-23T00:20:00,43.53,202
2026-08-23T00:21:00,45.51,202
2026-08-23T00:22:00,44.44,208
2026-08-23T00:23:00,48.47,204
2026-08-23T00:24:00,47.32,208
2026-08-23T00:25:00,47.26,199
2026-08-23T00:26:00,46.13,203
2026-08-23T00:27:00,45.18,209
2026-08-23T00:28:00,45.29,202
2026-08-23T00:29:00,46.83,198
2026-08-23T00:30:00,49.0,205
2026-08-23T00:31:00,45.82,206
2026-08-23T00:32:00,48.71,201
2026-08-23T00:33:00,45.15,204
2026-08-23T00:34:00,40.95,199
2026-08-23T00:35:00,44.62,199
2026-08-23T00:36:00,49.09,191
2026-08-23T00:37:00,49.92,199
2026-08-23T00:38:00,51.3,203
2026-08-23T00:39:00,49.91,203
2026-08-23T00:40:00,44.76,204
2026-08-23T00:41:00,42.39,194
2026-08-23T00:42:00,50.87,201
2026-08-23T00:43:00,43.0,201
2026-08-23T00:44:00,48.61,200
2026-08-23T00:45:00,46.12,196
2026-08-23T00:46:00,44.48,197
2026-08-23T00:47:00,42.69,193
2026-08-23T00:48:00,45.04,195
2026-08-23T00:49:00,44.8,195
2026-08-23T00:50:00,46.18,197
2026-08-23T00:51:00,42.34,195
2026-08-23T00:52:00,45.38,197
2026-08-23T00:53:00,47.14,198
2026-08-23T00:54:00,43.36,197
2026-08-23T00:55:00,45.03,201
2026-08-23T00:56:00,48.17,208
2026-08-23T00:57:00,46.01,203
2026-08-23T00:58:00,46.43,200
2026-08-23T00:59:00,40.86,204
2026-08-23T01:00:00,44.49,200
2026-08-23T01:01:00,43.74,204
2026-08-23T01:02:00,52.66,202
2026-08-23T01:03:00,51.21,197
2026-08-23T01:04:00,45.91,200
2026-08-23T01:05:00,44.27,202
2026-08-23T01:06:00,48.46,204
2026-08-23T01:07:00,51.15,202
2026-08-23T01:08:00,49.96,190
2026-08-23T01:09:00,48.5,191
2026-08-23T01:10:00,44.57,192
2026-08-23T01:11:00,51.27,195
2026-08-23T01:12:00,47.82,199
2026-08-23T01:13:00,41.76,205
2026-08-23T01:14:00,43.77,196
2026-08-23T01:15:00,44.98,209
2026-08-23T01:16:00,45.69,210
2026-08-23T01:17:00,41.52,210
2026-08-23T01:18:00,37.05,202
2026-08-23T01:19:00,37.77,202
2026-08-23T01:20:00,42.99,206
2026-08-23T01:21:00,38.57,201
2026-08-23T01:22:00,34.14,201
2026-08-23T01:23:00,39.23,208
2026-08-23T01:24:00,39.94,212
2026-08-23T01:25:00,37.45,213
2026-08-23T01:26:00,37.03,208
2026-08-23T01:27:00,40.39,205
2026-08-23T01:28:00,40.87,199
2026-08-23T01:29:00,43.79,196
2026-08-23T01:30:00,39.51,201
2026-08-23T01:31:00,39.4,201
2026-08-23T01:32:00,41.43,207
2026-08-23T01:33:00,39.37,211
2026-08-23T01:34:00,36.71,208
2026-08-23T01:35:00,39.95,210
2026-08-23T01:36:00,40.0,210
2026-08-23T01:37:00,37.41,211
2026-08-23T01:38:00,38.13,209
2026-08-23T01:39:00,34.65,206
2026-08-23T01:40:00,30.58,192
2026-08-23T01:41:00,34.83,188
2026-08-23T01:42:00,42.02,185
2026-08-23T01:43:00,39.37,193
2026-08-23T01:44:00,35.53,193
2026-08-23T01:45:00,38.42,188
2026-08-23T01:46:00,40.34,190
2026-08-23T01:47:00,38.97,198
2026-08-23T01:48:00,38.73,197
2026-08-23T01:49:00,37.94,191
2026-08-23T01:50:00,37.27,190
2026-08-23T01:51:00,36.47,190
2026-08-23T01:52:00,35.55,195
2026-08-23T01:53:00,40.05,201
2026-08-23T01:54:00,38.51,205
2026-08-23T01:55:00,34.71,196
2026-08-23T01:56:00,37.61,200
2026-08-23T01:57:00,43.52,205
2026-08-23T01:58:00,41.95,199
2026-08-23T01:59:00,37.17,198
2026-08-23T02:00:00,37.98,206
2026-08-23T02:01:00,37.44,193
2026-08-23T02:02:00,35.49,193
2026-08-23T02:03:00,34.5,208
2026-08-23T02:04:00,41.46,208
2026-08-23T02:05:00,42.18,208
2026-08-23T02:06:00,41.55,207
2026-08-23T02:07:00,37.42,199
2026-08-23T02:08:00,38.44,199
2026-08-23T02:09:00,34.77,194
2026-08-23T02:10:00,39.09,193
2026-08-23T02:11:00,41.91,190
