fecha,velocidad,direccion
2026-08-29T00:00:00,20.51,341
2026-08-29T00:01:00,18.44,342
2026-08-29T00:02:00,18.25,345
2026-08-29T00:03:00,20.27,345
2026-08-29T00:04:00,20.34,344
2026-08-29T00:05:00,20.45,342
2026-08-29T00:06:00,21.74,340
2026-08-29T00:07:00,21.37,340
2026-08-29T00:08:00,25.81,342
2026-08-29T00:09:00,21.93,337
2026-08-29T00:10:00,21.07,342
2026-08-29T00:11:00,18.4,342
2026-08-29T00:12:00,22.65,341
2026-08-29T00:13:00,20.56,342
2026-08-29T00:14:00,21.13,339
2026-08-29T00:15:00,19.43,341
2026-08-29T00:16:00,20.74,342
2026-08-29T00:17:00,23.41,341
2026-08-29T00:18:00,21.58,336
2026-08-29T00:19:00,19.66,336
2026-08-29T00:20:00,20.84,341
2026-08-29T00:21:00,23.32,342
2026-08-29T00:22:00,21.99,338
2026-08-29T00:23:00,20.08,341
2026-08-29T00:24:00,20.98,342
2026-08-29T00:25:00,20.65,341
2026-08-29T00:26:00,20.35,341
2026-08-29T00:27:00,21.42,342
2026-08-29T00:28:00,22.76,344
2026-08-29T00:29:00,20.31,341
2026-08-29T00:30:00,19.57,342
2026-08-29T00:31:00,20.66,345
2026-08-29T00:32:00,21.01,344
2026-08-29T00:33:00,21.6,346
2026-08-29T00:34:00,21.64,344
2026-08-29T00:35:00,19.07,341
2026-08-29T00:36:00,21.45,345
2026-08-29T00:37:00,23.01,345
2026-08-29T00:38:00,23.14,338
2026-08-29T00:39:00,20.8,340
2026-08-29T00:40:00,20.55,342
2026-08-29T00:41:00,21.65,335
2026-08-29T00:42:00,21.97,338
2026-08-29T00:43:00,19.95,339
2026-08-29T00:44:00,20.65,337
2026-08-29T00:45:00,21.29,339
2026-08-29T00:46:00,19.82,341
2026-08-29T00:47:00,22.74,340
2026-08-29T00:48:00,21.11,339
2026-08-29T00:49:00,19.96,340
2026-08-29T00:50:00,21.63,339
2026-08-29T00:51:00,19.93,340
2026-08-29T00:52:00,22.29,339
2026-08-29T00:53:00,21.77,340
2026-08-29T00:54:00,19.95,339
2026-08-29T00:55:00,19.84,337
2026-08-29T00:56:00,20.7,341
2026-08-29T00:57:00,22.06,341
2026-08-29T00:58:00,22.63,342
2026-08-29T00:59:00,21.65,341
2026-08-29T01:00:00,20.6,346
2026-08-29T01:01:00,19.21,344
2026-08-29T01:02:00,20.96,342
2026-08-29T01:03:00,19.86,342
2026-08-29T01:04:00,20.03,343
2026-08-29T01:05:00,20.27,344
2026-08-29T01:06:00,20.02,344
2026-08-29T01:07:00,20.66,344
2026-08-29T01:08:00,21.42,343
2026-08-29T01:09:00,21.13,343
2026-08-29T01:10:00,21.36,343
2026-08-29T01:11:00,20.82,343
2026-08-29T01:12:00,19.32,340
2026-08-29T01:13:00,19.6,342
2026-08-29T01:14:00,19.49,341
2026-08-29T01:15:00,18.01,340
2026-08-29T01:16:00,17.13,336
2026-08-29T01:17:00,16.89,338
2026-08-29T01:18:00,17.64,339
2026-08-29T01:19:00,17.03,340
2026-08-29T01:20:00,15.68,335
2026-08-29T01:21:00,15.66,339
2026-08-29T01:22:00,17.04,340
2026-08-29T01:23:00,18.01,339
2026-08-29T01:24:00,16.96,339
2026-08-29T01:25:00,17.59,339
2026-08-29T01:26:00,17.16,344
2026-08-29T01:27:00,18.43,341
2026-08-29T01:28:00,17.68,342
2026-08-29T01:29:00,17.32,341
2026-08-29T01:30:00,17.14,341
2026-08-29T01:31:00,18.18,339
2026-08-29T01:32:00,19.69,344
2026-08-29T01:33:00,17.87,345
2026-08-29T01:34:00,16.93,342
2026-08-29T01:35:00,18.54,347
2026-08-29T01:36:00,17.84,343
2026-08-29T01:37:00,17.58,340
2026-08-29T01:38:00,16.89,339
2026-08-29T01:39:00,18.05,346
2026-08-29T01:40:00,19.89,348
2026-08-29T01:41:00,20.59,350
2026-08-29T01:42:00,21.39,347
2026-08-29T01:43:00,20.04,347
2026-08-29T01:44:00,18.42,345
2026-08-29T01:45:00,20.27,345
2026-08-29T01:46:00,19.75,345
2026-08-29T01:47:00,19.02,347
2026-08-29T01:48:00,18.45,342
2026-08-29T01:49:00,18.52,345
2026-08-29T01:50:00,20.3,345
2026-08-29T01:51:00,20.01,345
2026-08-29T01:52:00,18.73,344
2026-08-29T01:53:00,19.39,344
2026-08-29T01:54:00,18.6,344
2026-08-29T01:55:00,18.52,344
2026-08-29T01:56:00,18.75,346
2026-08-29T01:57:00,19.01,344
2026-08-29T01:58:00,18.83,343
2026-08-29T01:59:00,18.47,341
2026-08-29T02:00:00,18.94,342
2026-08-29T02:01:00,17.68,341
2026-08-29T02:02:00,18.07,341
2026-08-29T02:03:00,18.72,340
2026-08-29T02:04:00,18.34,339
2026-08-29T02:05:00,18.1,336
2026-08-29T02:06:00,19.36,335
2026-08-29T02:07:00,18.09,334
2026-08-29T02:08:00,19.0,335
2026-08-29T02:09:00,18.46,333
2026-08-29T02:10:00,20.43,330
2026-08-29T02:11:00,20.2,334
2026-08-29T02:12:00,17.81,334
2026-08-29T02:13:00,18.95,334
2026-08-29T02:14:00,19.26,331
2026-08-29T02:15:00,18.77,332
2026-08-29T02:16:00,19.94,335
2026-08-29T02:17:00,17.32,334
2026-08-29T02:18:00,17.46,333
2026-08-29T02:19:00,19.48,329
2026-08-29T02:20:00,19.78,331
2026-08-29T02:21:00,18.18,329
2026-08-29T02:22:00,18.26,327
2026-08-29T02:23:00,18.13,329
2026-08-29T02:24:00,17.07,326
2026-08-29T02:25:00,17.66,329
2026-08-29T02:26:00,18.66,328
2026-08-29T02:27:00,18.15,329
2026-08-29T02:28:00,17.76,326
2026-08-29T02:29:00,17.65,324
2026-08-29T02:30:00,19.95,325
2026-08-29T02:31:00,20.06,325
2026-08-29T02:32:00,18.6,327
2026-08-29T02:33:00,21.51,330
2026-08-29T02:34:00,20.77,330
2026-08-29T02:35:00,19.6,330
2026-08-29T02:36:00,21.78,334
2026-08-29T02:37:00,21.74,333
2026-08-29T02:38:00,19.97,332
2026-08-29T02:39:00,21.02,334
2026-08-29T02:40:00,21.23,337
2026-08-29T02:41:00,21.16,336
2026-08-29T02:42:00,20.76,339
2026-08-29T02:43:00,20.98,339
2026-08-29T02:44:00,20.35,339
2026-08-29T02:45:00,19.32,340
2026-08-29T02:46:00,20.79,343
2026-08-29T02:47:00,20.63,344
2026-08-29T02:48:00,22.37,340
2026-08-29T02:49:00,21.14,342
2026-08-29T02:50:00,21.07,343
2026-08-29T02:51:00,19.51,335
2026-08-29T02:52:00,20.85,340
2026-08-29T02:53:00,18.87,339
2026-08-29T02:54:00,17.62,333
2026-08-29T02:55:00,21.03,332
2026-08-29T02:56:00,17.7,335
2026-08-29T02:57:00,17.21,337
