fecha,velocidad,direccion
2026-08-14T00:00:00,14.34,54
2026-08-14T00:01:00,17.08,57
2026-08-14T00:02:00,15.06,64
2026-08-14T00:03:00,14.74,58
2026-08-14T00:04:00,12.56,54
2026-08-14T00:05:00,16.85,57
2026-08-14T00:06:00,12.62,47
2026-08-14T00:07:00,14.09,54
2026-08-14T00:08:00,16.87,63
2026-08-14T00:09:00,13.94,65
2026-08-14T00:10:00,15.74,65
2026-08-14T00:11:00,14.75,61
2026-08-14T00:12:00,15.7,62
2026-08-14T00:13:00,14.82,60
2026-08-14T00:14:00,13.75,68
2026-08-14T00:15:00,15.73,65
2026-08-14T00:16:00,15.37,63
2026-08-14T00:17:00,15.94,62
2026-08-14T00:18:00,16.11,65
2026-08-14T00:19:00,14.87,68
2026-08-14T00:20:00,15.5,66
2026-08-14T00:21:00,13.95,69
2026-08-14T00:22:00,15.46,72
2026-08-14T00:23:00,14.18,70
2026-08-14T00:24:00,13.41,71
2026-08-14T00:25:00,15.39,76
2026-08-14T00:26:00,14.08,67
2026-08-14T00:27:00,16.25,70
2026-08-14T00:28:00,14.46,72
2026-08-14T00:29:00,12.67,70
2026-08-14T00:30:00,12.28,67
2026-08-14T00:31:00,13.44,68
2026-08-14T00:32:00,13.27,72
2026-08-14T00:33:00,16.24,71
2026-08-14T00:34:00,15.92,65
2026-08-14T00:35:00,16.88,69
2026-08-14T00:36:00,15.33,71
2026-08-14T00:37:00,15.75,68
2026-08-14T00:38:00,17.92,67
2026-08-14T00:39:00,18.45,67
2026-08-14T00:40:00,17.66,67
2026-08-14T00:41:00,17.53,65
2026-08-14T00:42:00,17.5,65
2026-08-14T00:43:00,17.07,62
2026-08-14T00:44:00,18.27,61
2026-08-14T00:45:00,16.2,64
2026-08-14T00:46:00,18.95,68
2026-08-14T00:47:00,17.78,65
2026-08-14T00:48:00,17.52,65
2026-08-14T00:49:00,17.27,67
2026-08-14T00:50:00,16.91,66
2026-08-14T00:51:00,17.43,63
2026-08-14T00:52:00,19.09,65
2026-08-14T00:53:00,19.5,63
2026-08-14T00:54:00,17.08,67
2026-08-14T00:55:00,16.39,63
2026-08-14T00:56:00,19.5,63
2026-08-14T00:57:00,16.89,61
2026-08-14T00:58:00,17.78,61
2026-08-14T00:59:00,15.54,56
2026-08-14T01:00:00,15.21,57
2026-08-14T01:01:00,18.12,64
2026-08-14T01:02:00,12.7,54
2026-08-14T01:03:00,14.23,55
2026-08-14T01:04:00,13.98,48
2026-08-14T01:05:00,10.75,44
2026-08-14T01:06:00,11.62,47
2026-08-14T01:07:00,12.81,48
2026-08-14T01:08:00,11.87,44
2026-08-14T01:09:00,11.84,45
2026-08-14T01:10:00,11.41,50
2026-08-14T01:11:00,14.5,54
2026-08-14T01:12:00,14.82,54
2026-08-14T01:13:00,18.89,61
2026-08-14T01:14:00,15.95,58
2026-08-14T01:15:00,15.45,59
2026-08-14T01:16:00,15.74,63
2026-08-14T01:17:00,15.27,61
2026-08-14T01:18:00,17.07,60
2026-08-14T01:19:00,17.36,67
2026-08-14T01:20:00,14.9,66
2026-08-14T01:21:00,17.02,67
2026-08-14T01:22:00,17.87,73
2026-08-14T01:23:00,17.07,68
2026-08-14T01:24:00,17.31,70
2026-08-14T01:25:00,14.38,75
2026-08-14T01:26:00,16.61,68
2026-08-14T01:27:00,16.41,69
2026-08-14T01:28:00,17.5,68
2026-08-14T01:29:00,16.37,70
2026-08-14T01:30:00,18.18,74
2026-08-14T01:31:00,15.94,74
2026-08-14T01:32:00,17.78,74
2026-08-14T01:33:00,17.34,73
2026-08-14T01:34:00,17.12,64
2026-08-14T01:35:00,17.22,67
2026-08-14T01:36:00,18.07,65
2026-08-14T01:37:00,16.29,63
2026-08-14T01:38:00,16.89,67
2026-08-14T01:39:00,16.77,69
2026-08-14T01:40:00,16.74,70
2026-08-14T01:41:00,17.24,73
2026-08-14T01:42:00,18.25,71
2026-08-14T01:43:00,16.96,66
2026-08-14T01:44:00,18.26,65
2026-08-14T01:45:00,17.63,67
2026-08-14T01:46:00,17.06,69
2026-08-14T01:47:00,16.1,71
2026-08-14T01:48:00,14.92,71
2026-08-14T01:49:00,17.28,75
2026-08-14T01:50:00,17.33,73
2026-08-14T01:51:00,15.92,66
2026-08-14T01:52:00,17.34,67
2026-08-14T01:53:00,19.38,67
2026-08-14T01:54:00,20.21,63
2026-08-14T01:55:00,18.65,63
2026-08-14T01:56:00,17.82,60
2026-08-14T01:57:00,17.7,66
2026-08-14T01:58:00,19.93,64
2026-08-14T01:59:00,18.34,63
2026-08-14T02:00:00,19.42,57
2026-08-14T02:01:00,19.64,61
2026-08-14T02:02:00,18.63,56
2026-08-14T02:03:00,19.02,57
2026-08-14T02:04:00,18.49,60
2026-08-14T02:05:00,19.18,57
2026-08-14T02:06:00,20.21,60
2026-08-14T02:07:00,17.79,62
2026-08-14T02:08:00,17.65,64
2026-08-14T02:09:00,16.53,68
2026-08-14T02:10:00,16.07,71
2026-08-14T02:11:00,16.82,69
2026-08-14T02:12:00,15.96,65
2026-08-14T02:13:00,17.09,65
2026-08-14T02:14:00,13.82,68
2026-08-14T02:15:00,16.72,77
2026-08-14T02:16:00,14.63,74
2026-08-14T02:17:00,17.66,72
2026-08-14T02:18:00,15.04,73
2026-08-14T02:19:00,17.27,66
2026-08-14T02:20:00,16.79,60
2026-08-14T02:21:00,18.34,57
2026-08-14T02:22:00,16.57,59
2026-08-14T02:23:00,18.78,67
2026-08-14T02:24:00,15.7,69
2026-08-14T02:25:00,17.4,66
2026-08-14T02:26:00,16.87,66
2026-08-14T02:27:00,16.53,71
2026-08-14T02:28:00,17.16,65
2026-08-14T02:29:00,19.32,71
2026-08-14T02:30:00,19.08,69
2026-08-14T02:31:00,16.98,67
2026-08-14T02:32:00,16.27,63
2026-08-14T02:33:00,18.24,63
2026-08-14T02:34:00,17.83,63
2026-08-14T02:35:00,17.13,56
2026-08-14T02:36:00,17.09,58
2026-08-14T02:37:00,12.96,47
2026-08-14T02:38:00,11.7,46
2026-08-14T02:39:00,12.85,48
2026-08-14T02:40:00,13.5,47
2026-08-14T02:41:00,12.12,45
2026-08-14T02:42:00,14.37,60
2026-08-14T02:43:00,13.11,59
2026-08-14T02:44:00,12.87,63
2026-08-14T02:45:00,13.56,64
2026-08-14T02:46:00,12.34,62
2026-08-14T02:47:00,14.12,75
