fecha,velocidad,direccion
2026-09-04T00:00:00,43.68,229
2026-09-04T00:01:00,40.75,235
2026-09-04T00:02:00,40.24,236
2026-09-04T00:03:00,39.89,238
2026-09-04T00:04:00,43.0,239
2026-09-04T00:05:00,44.58,237
2026-09-04T00:06:00,36.74,242
2026-09-04T00:07:00,41.27,240
2026-09-04T00:08:00,40.94,238
2026-09-04T00:09:00,41.85,240
2026-09-04T00:10:00,42.43,238
2026-09-04T00:11:00,41.63,238
2026-09-04T00:12:00,42.22,236
2026-09-04T00:13:00,41.41,244
2026-09-04T00:14:00,44.22,236
2026-09-04T00:15:00,42.24,239
2026-09-04T00:16:00,42.78,234
2026-09-04T00:17:00,40.06,234
2026-09-04T00:18:00,41.99,231
2026-09-04T00:19:00,42.92,232
2026-09-04T00:20:00,32.53,236
2026-09-04T00:21:00,39.33,234
2026-09-04T00:22:00,41.16,230
2026-09-04T00:23:00,39.16,231
2026-09-04T00:24:00,38.82,227
2026-09-04T00:25:00,34.85,236
2026-09-04T00:26:00,39.72,243
2026-09-04T00:27:00,39.11,238
2026-09-04T00:28:00,36.74,229
2026-09-04T00:29:00,40.84,230
2026-09-04T00:30:00,33.71,231
2026-09-04T00:31:00,40.61,237
2026-09-04T00:32:00,39.01,240
2026-09-04T00:33:00,40.12,240
2026-09-04T00:34:00,43.03,236
2026-09-04T00:35:00,44.73,242
2026-09-04T00:36:00,40.45,236
2026-09-04T00:37:00,39.27,237
2026-09-04T00:38:00,44.18,237
2026-09-04T00:39:00,40.94,232
2026-09-04T00:40:00,44.48,235
2026-09-04T00:41:00,40.02,233
2026-09-04T00:42:00,41.9,236
2026-09-04T00:43:00,42.72,236
2026-09-04T00:44:00,42.97,240
2026-09-04T00:45:00,39.89,236
2026-09-04T00:46:00,43.26,240
2026-09-04T00:47:00,41.9,233
2026-09-04T00:48:00,41.65,232
2026-09-04T00:49:00,37.04,234
2026-09-04T00:50:00,39.62,234
2026-09-04T00:51:00,39.92,235
2026-09-04T00:52:00,36.97,232
2026-09-04T00:53:00,44.16,239
2026-09-04T00:54:00,38.47,236
2026-09-04T00:55:00,39.02,228
2026-09-04T00:56:00,40.96,232
2026-09-04T00:57:00,40.84,232
2026-09-04T00:58:00,38.44,232
2026-09-04T00:59:00,39.92,238
2026-09-04T01:00:00,38.55,234
2026-09-04T01:01:00,34.25,230
2026-09-04T01:02:00,39.72,232
2026-09-04T01:03:00,35.4,234
2026-09-04T01:04:00,39.51,233
2026-09-04T01:05:00,37.12,232
2026-09-04T01:06:00,36.66,231
2026-09-04T01:07:00,38.8,233
2026-09-04T01:08:00,38.56,236
2026-09-04T01:09:00,40.9,230
2026-09-04T01:10:00,41.87,232
2026-09-04T01:11:00,36.47,231
2026-09-04T01:12:00,34.96,228
2026-09-04T01:13:00,39.23,230
2026-09-04T01:14:00,36.31,234
2026-09-04T01:15:00,34.38,228
2026-09-04T01:16:00,36.25,224
2026-09-04T01:17:00,40.21,229
2026-09-04T01:18:00,38.1,226
2026-09-04T01:19:00,39.82,220
2026-09-04T01:20:00,35.42,224
2026-09-04T01:21:00,35.21,227
2026-09-04T01:22:00,33.28,232
2026-09-04T01:23:00,31.46,229
2026-09-04T01:24:00,33.05,232
2026-09-04T01:25:00,35.24,232
2026-09-04T01:26:00,36.83,230
2026-09-04T01:27:00,36.88,234
2026-09-04T01:28:00,34.24,233
2026-09-04T01:29:00,32.0,231
2026-09-04T01:30:00,37.43,235
2026-09-04T01:31:00,33.72,234
2026-09-04T01:32:00,32.46,231
2026-09-04T01:33:00,35.52,235
2026-09-04T01:34:00,34.09,237
2026-09-04T01:35:00,38.67,234
2026-09-04T01:36:00,32.25,232
2026-09-04T01:37:00,35.49,235
2026-09-04T01:38:00,38.79,233
2026-09-04T01:39:00,35.03,235
2026-09-04T01:40:00,33.78,235
2026-09-04T01:41:00,34.23,232
2026-09-04T01:42:00,37.52,241
2026-09-04T01:43:00,35.45,239
2026-09-04T01:44:00,33.3,233
2026-09-04T01:45:00,35.68,239
2026-09-04T01:46:00,34.64,234
2026-09-04T01:47:00,36.69,237
2026-09-04T01:48:00,32.93,238
2026-09-04T01:49:00,33.72,243
2026-09-04T01:50:00,33.11,237
2026-09-04T01:51:00,30.85,238
2026-09-04T01:52:00,35.02,240
2026-09-04T01:53:00,33.85,244
2026-09-04T01:54:00,31.59,237
2026-09-04T01:55:00,33.71,237
2026-09-04T01:56:00,34.07,235
2026-09-04T01:57:00,34.87,239
2026-09-04T01:58:00,35.48,234
2026-09-04T01:59:00,39.56,241
2026-09-04T02:00:00,32.21,242
2026-09-04T02:01:00,38.13,236
2026-09-04T02:02:00,40.76,238
2026-09-04T02:03:00,35.29,239
2026-09-04T02:04:00,34.42,237
2026-09-04T02:05:00,35.53,243
2026-09-04T02:06:00,39.76,241
2026-09-04T02:07:00,38.74,238
2026-09-04T02:08:00,33.25,239
2026-09-04T02:09:00,30.91,240
2026-09-04T02:10:00,32.33,241
2026-09-04T02:11:00,37.13,249
2026-09-04T02:12:00,35.22,248
2026-09-04T02:13:00,34.62,239
2026-09-04T02:14:00,36.28,243
2026-09-04T02:15:00,39.28,250
2026-09-04T02:16:00,36.04,251
2026-09-04T02:17:00,35.2,253
2026-09-04T02:18:00,39.85,247
2026-09-04T02:19:00,33.52,246
2026-09-04T02:20:00,38.66,245
2026-09-04T02:21:00,37.44,244
2026-09-04T02:22:00,33.64,249
2026-09-04T02:23:00,35.78,240
2026-09-04T02:24:00,38.88,244
2026-09-04T02:25:00,36.16,246
2026-09-04T02:26:00,36.47,248
2026-09-04T02:27:00,35.52,250
2026-09-04T02:28:00,38.28,254
2026-09-04T02:29:00,14.16,289
2026-09-04T02:30:00,11.78,307
2026-09-04T02:31:00,19.96,306
2026-09-04T02:32:00,17.89,302
2026-09-04T02:33:00,17.75,301
2026-09-04T02:34:00,13.8,300
2026-09-04T02:35:00,12.91,299
2026-09-04T02:36:00,15.78,299
2026-09-04T02:37:00,13.32,301
2026-09-04T02:38:00,11.78,297
2026-09-04T02:39:00,11.93,308
2026-09-04T02:40:00,15.4,297
2026-09-04T02:41:00,14.76,295
2026-09-04T02:42:00,16.92,314
2026-09-04T02:43:00,14.09,308
2026-09-04T02:44:00,11.73,299
2026-09-04T02:45:00,12.37,296
2026-09-04T02:46:00,11.14,308
2026-09-04T02:47:00,18.81,319
2026-09-04T02:48:00,17.08,316
